90~
24~
3~
237	
115	
212	
211	
184	
127	
190	
145	
120	
132	
235	
110	
136	
108	
166	
102	
235	
129	
114	
146	
168	
115	
250	
150	
144	
109	
145	
106	
176	
214	
195	
113	
112	
217	
236	
180	
116	
224	
151	
144	
212	
101	
107	
200	
191	
179	
210	
206	
217	
143	
204	
184	
159	
109	
217	
150	
191	
211	
115	
119	
182	
173	
234	
220	
210	
107	
111	
113	
220	
242	
203	
119	
209	
116	
117	
196	
149	
198	
213	
188	
211	
135	
210	
246	
230	
113	
155	
155	
203	
190	~
2200000000	
1500000000	
1300000000	
1100000000	
2200000000	
1300000000	
1600000000	
1800000000	
1300000000	
2000000000	
1700000000	
1200000000	
2200000000	
1100000000	
1400000000	
1300000000	
1800000000	
1100000000	
1600000000	
1100000000	
1100000000	
2200000000	
1400000000	
1900000000	
2500000000	
1600000000	
2100000000	
2200000000	
1600000000	
2000000000	
1100000000	
2400000000	
1200000000	
1400000000	
2200000000	
1700000000	
2200000000	
1600000000	
1400000000	
1000000000	
2000000000	
1600000000	
1700000000	
1900000000	
1000000000	
1500000000	
2200000000	
2100000000	
1200000000	
1200000000	
1100000000	
1000000000	
1600000000	
2000000000	
2100000000	
1800000000	
1100000000	
2000000000	
1200000000	
1200000000	
1100000000	
1200000000	
1200000000	
1300000000	
1500000000	
1500000000	
1300000000	
1400000000	
2400000000	
2100000000	
1800000000	
1200000000	
1300000000	
1100000000	
2400000000	
2100000000	
1800000000	
1500000000	
1200000000	
1900000000	
2500000000	
1200000000	
1400000000	
1600000000	
1100000000	
2000000000	
1600000000	
2500000000	
1600000000	
1900000000	~
287	
270	
262	
272	
207	
243	
236	
230	
191	
187	
218	
184	
271	
298	
154	
230	
163	
271	
299	
160	
245	
203	
300	
183	~
1.000000e-11	
5.000000e-12	
9.000000e-12	
9.000000e-12	
8.000000e-12	
1.000000e-11	
1.000000e-11	
8.000000e-12	
5.000000e-12	
6.000000e-12	
6.000000e-12	
5.000000e-12	
5.000000e-12	
8.000000e-12	
1.000000e-11	
7.000000e-12	
7.000000e-12	
1.000000e-11	
1.000000e-11	
9.000000e-12	
1.650000e-10	
1.610000e-10	
1.390000e-10	
1.140000e-10	~
20	
18	
13	
17	
12	
13	
17	
15	
14	
16	
18	
16	
16	
16	
15	
10	
17	
20	
13	
20	
20	
28	
23	
35	~
0	
0	
0	
3	
0	
3	
0	
0	
0	
0	
3	
0	
0	
0	
0	
2	
0	
0	
0	
0	
1	
2	
3	
3	~
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
